week_number,work_location,shift_time,department_group,actual_attendance,greykite_forecast,four_week_rolling_avg,six_week_rolling_avg,exponential_smoothing_alpha_2,exponential_smoothing_alpha_4,exponential_smoothing_alpha_6,exponential_smoothing_alpha_8,exponential_smoothing_alpha_1,four_week_rolling_avg_shift2
2024-W01,AZ Phoenix,AM,Production,71.63,,79.298622294,81.237458194,80.924445834,79.919868792,79.383487756,79.499895659,80.382165605,79.4525
2024-W02,AZ Phoenix,AM,Production,76.59,,78.800655891,80.442701037,80.674940578,79.161161941,77.542999505,74.543857815,56.71641791,73.69749999999999
2024-W03,AZ Phoenix,AM,Production,81.75,,75.703942076,77.740475843,78.985226546,75.449947387,72.911136162,71.774554647,71.631799163,71.475
2024-W04,AZ Phoenix,AM,Production,82.44,,75.456711676,77.078120656,78.379879883,76.069037461,75.630651407,75.978832264,76.589595376,71.33
2024-W05,AZ Phoenix,AM,Production,85.26,,77.061376317,77.443197372,79.230817027,78.863358608,79.694663532,80.733999981,81.754195994,71.6725
2024-W06,AZ Phoenix,AM,Production,85.66,,78.659200498,78.643043538,79.937885878,80.377648824,81.335677137,82.07503874,82.438141219,78.1025
2024-W07,AZ Phoenix,AM,Production,85.51,,81.433796635,79.782635544,81.056799303,82.357226206,83.654389449,84.596074262,85.259212992,81.51
2024-W08,AZ Phoenix,AM,Production,84.01,,83.617218953,80.795054886,81.893709632,83.558437531,84.768882879,85.416314449,85.661492979,83.7775
2024-W09,AZ Phoenix,AM,Production,83.36,,84.666879184,82.70226373,82.682690959,84.390637193,85.234959252,85.492100099,85.508117859,84.7175
2024-W10,AZ Phoenix,AM,Production,83.27,,85.107772698,84.004985459,82.94541947,84.240639055,84.513242075,84.321044907,84.00796284,85.11
2024-W11,AZ Phoenix,AM,Production,87.45,,84.642438453,84.353667786,83.024447736,83.89962252,83.835808423,83.557717725,83.356353591,84.635
2024-W12,AZ Phoenix,AM,Production,83.21,,84.095063985,84.539070338,83.071439723,83.65986289,83.506556644,83.332648023,83.273766976,84.0375
2024-W13,AZ Phoenix,AM,Production,84.73,,84.420225121,84.825264136,83.829301529,85.031621761,85.736214697,86.539114908,87.449718423,84.52250000000001
2024-W14,AZ Phoenix,AM,Production,84.02,,84.232745962,84.439545138,83.711011259,84.308216538,84.203215822,83.844076458,83.210603829,84.32249999999999
2024-W15,AZ Phoenix,AM,Production,79.51,,84.591738713,84.264705882,83.889345718,84.464416119,84.505667745,84.537312086,84.730290456,84.66499999999999
2024-W16,AZ Phoenix,AM,Production,82.11,,84.816650149,84.275215408,83.913216766,84.291703349,84.215849768,84.122513654,84.01937046,84.85249999999999
2024-W17,AZ Phoenix,AM,Production,80.17,,82.846427161,83.666320706,83.077815254,82.390605386,81.377106542,80.416658792,79.509493671,82.8675
2024-W18,AZ Phoenix,AM,Production,83.06,,82.561197653,83.483563097,82.894871743,82.278475191,81.810860296,81.762369942,82.105263158,82.5925
2024-W19,AZ Phoenix,AM,Production,85.16,,81.449979749,82.295693907,82.387482758,81.457199898,80.838585015,80.49420822,80.166666667,81.4525
2024-W20,AZ Phoenix,AM,Production,84.88,,81.203007519,82.253903598,82.51632245,82.094704652,82.173701126,82.552018985,83.060556465,81.2125
2024-W21,AZ Phoenix,AM,Production,82.67,,82.604188265,82.30958231,83.008259338,83.283253775,83.934492901,84.621879676,85.162950257,82.625
2024-W22,AZ Phoenix,AM,Production,86.75,,83.294858342,82.433920705,83.36324063,83.912015803,84.497833401,84.825832832,84.876805438,83.3175
2024-W23,AZ Phoenix,AM,Production,88.13,,83.964509846,82.993197279,83.241561392,83.451307779,83.451078149,83.140137602,82.670454545,83.9425
2024-W24,AZ Phoenix,AM,Production,87.37,,84.751434034,83.605812897,83.734040509,84.490720553,85.152924871,85.827215665,86.751592357,84.865
2024-W25,AZ Phoenix,AM,Production,89.83,,85.540999515,85.007680492,84.604593346,86.038039681,87.074257203,87.763896989,88.134057971,85.6075
2024-W26,AZ Phoenix,AM,Production,87.8,,86.223218734,85.779455718,85.139153606,86.580261316,87.255320787,87.448877997,87.371375117,86.23
2024-W27,AZ Phoenix,AM,Production,89.87,,88.125153979,86.602034329,86.073017065,87.91515385,88.826260248,89.364034217,89.827429609,88.02
2024-W28,AZ Phoenix,AM,Production,87.82,,88.295165394,87.134977287,86.403750808,87.868843755,88.216822638,88.121768321,87.797902765,88.2825
2024-W29,AZ Phoenix,AM,Production,79.95,,88.712730715,88.356500409,87.052267552,88.644090513,89.188036956,89.507049345,89.870903674,88.7175
2024-W30,AZ Phoenix,AM,Production,85.59,,88.843471988,88.471257107,87.197988618,88.323531838,88.378555906,88.164961855,87.824351297,88.83
2024-W31,AZ Phoenix,AM,Production,90.56,,86.79245283,87.454059472,86.099909243,85.557462975,83.919355859,81.99307149,79.947229551,86.36
2024-W32,AZ Phoenix,AM,Production,86.38,,86.210670315,87.183462532,86.006551391,85.568487357,84.931899788,84.920214451,85.585585586,85.8075
2024-W33,AZ Phoenix,AM,Production,91.32,,86.337128575,87.237051441,86.8974524,87.624255006,88.41798446,89.507038898,90.55613851,85.98
2024-W34,AZ Phoenix,AM,Production,87.07,,85.91995393,86.993797884,86.803401883,87.145059281,87.224356288,87.044336697,86.384439359,85.62
2024-W35,AZ Phoenix,AM,Production,86.41,,88.602842585,87.265439971,87.75233538,88.931359251,89.805430762,90.554296512,91.321499014,88.4625
2024-W36,AZ Phoenix,AM,Production,81.41,,88.88315708,87.126561651,87.607097802,88.145141178,88.115731211,87.737545686,87.065637066,88.8325
2024-W37,AZ Phoenix,AM,Production,86.84,,87.890727607,87.978045326,87.386951215,87.495391797,87.14708019,86.708915854,86.409966025,87.79499999999999
2024-W38,AZ Phoenix,AM,Production,83.63,,86.480419057,87.131596984,86.07966246,84.867754594,83.513186881,82.338424472,81.412639405,86.5525
2024-W39,AZ Phoenix,AM,Production,84.09,,85.370643103,86.531365314,86.243250636,85.694522086,85.554645278,85.963513508,86.839666358,85.43249999999999
2024-W40,AZ Phoenix,AM,Production,81.2,,84.488208121,86.045756937,85.690382134,84.846289049,84.389897083,84.093924971,83.627906977,84.57249999999999
2024-W41,AZ Phoenix,AM,Production,82.34,,83.993476235,84.849460634,85.358391904,84.539939956,84.208275914,84.088101756,84.086629002,83.9925
2024-W42,AZ Phoenix,AM,Production,86.79,,83.933968844,83.849840256,84.488533353,83.179441236,82.388103472,81.767364592,81.198156682,83.94
2024-W43,AZ Phoenix,AM,Production,83.03,,82.799907898,83.24099723,84.031119196,82.832331884,82.357069006,82.226517432,82.33719893,82.815
2024-W44,AZ Phoenix,AM,Production,85.52,,83.535730967,84.105034183,84.564855954,84.347060939,84.923489646,85.803480226,86.785009862,83.605
2024-W45,AZ Phoenix,AM,Production,84.73,,83.274853801,83.468496569,84.256503219,83.822524315,83.787015247,83.578291613,83.033175355,83.34
2024-W46,AZ Phoenix,AM,Production,88.97,,84.360973305,83.777429467,84.508722113,84.497076291,84.824394868,85.131372494,85.52253116,84.42
2024-W47,AZ Phoenix,AM,Production,89.3,,85.001211534,83.878098847,84.551703711,84.587915281,84.767907636,84.811389001,84.729064039,85.0175
2024-W48,AZ Phoenix,AM,Production,89.26,,85.493372607,85.134482203,85.380372149,86.26141929,87.220873661,88.097168075,88.969823101,85.5625
2024-W49,AZ Phoenix,AM,Production,81.37,,87.043610548,86.296357891,86.101552382,87.414787307,88.433833834,89.047413133,89.297297297,87.13
2024-W50,AZ Phoenix,AM,Production,90.57,,87.954729184,86.624203822,86.631199971,88.072696873,88.897045185,89.211831769,89.259259259,88.06500000000001
2024-W51,AZ Phoenix,AM,Production,87.5,,87.664670659,86.698777325,85.878979459,85.920302712,84.926296912,83.28683708,81.366459627,87.22500000000001
2024-W52,AZ Phoenix,AM,Production,86.38,,88.038425782,87.564866423,86.771381661,87.840261294,88.504559947,89.347203891,90.566037736,87.625
2025-W01,AZ Phoenix,AM,Production,86.41,,87.524115756,88.130504404,86.906067742,87.705434715,87.900005957,87.871937328,87.5,87.17500000000001
2025-W02,AZ Phoenix,AM,Production,73.03,,86.780104712,87.685243164,86.811781345,87.1975717,87.008774085,86.691581244,86.375661376,86.455
2025-W03,AZ Phoenix,AM,Production,88.0,,87.801778907,87.157757497,86.740865341,86.897413168,86.658908797,86.470593009,86.413043478,87.71499999999999
2025-W04,AZ Phoenix,AM,Production,90.67,,82.431629013,83.710873147,83.405207,80.243935684,77.39219,75.022553421,73.026315789,83.33
2025-W05,AZ Phoenix,AM,Production,81.92,,82.669380634,84.749754661,84.330024207,83.335545063,83.59628728,85.133787628,87.995469989,83.455
2025-W06,AZ Phoenix,AM,Production,81.82,,83.857383492,84.802965275,85.6011072,86.256710095,87.7907231,89.536358898,90.671217292,84.5275
2025-W07,AZ Phoenix,AM,Production,88.21,,82.855653986,83.846153846,84.776281631,84.376996336,84.087299112,83.283262255,81.916996047,83.405
2025-W08,AZ Phoenix,AM,Production,84.12,,85.501242751,83.176535695,84.214898875,83.413251707,82.796558886,82.148572474,81.818181818,85.60249999999999
2025-W09,AZ Phoenix,AM,Production,87.2,,84.986595174,82.944635976,84.472501094,84.153133384,84.379296202,85.357894745,88.211382114,85.655
2025-W10,AZ Phoenix,AM,Production,81.29,,83.082952319,85.364842454,84.38767126,84.135084638,84.185281066,84.226878025,84.117032393,84.0175
2025-W11,AZ Phoenix,AM,Production,85.98,,84.765100671,85.239170602,85.020675302,85.50836139,86.125019275,86.655851875,87.204301075,85.33749999999999
2025-W12,AZ Phoenix,AM,Production,88.21,,84.678522572,83.58770646,84.301099604,83.871001727,83.333093936,82.490211042,81.289506953,85.205
2025-W13,AZ Phoenix,AM,Production,89.65,,84.746243266,84.393939394,84.64693295,84.736656744,84.943841397,85.307281774,85.983510012,84.64750000000001
2025-W14,AZ Phoenix,AM,Production,85.25,,85.764809903,85.552654482,85.35821263,86.12173295,86.891463215,87.621716644,88.213851762,85.67
2025-W15,AZ Phoenix,AM,Production,88.46,,86.309341501,86.063664596,86.197133936,87.50803372,88.525046745,89.235044611,89.650872818,86.2825
2025-W16,AZ Phoenix,AM,Production,89.04,,87.405953549,86.354123064,86.054110028,86.779503999,86.82700837,86.273523711,85.248713551,87.27250000000001
2025-W17,AZ Phoenix,AM,Production,89.36,,88.085676037,86.538461538,86.538978293,87.48305707,87.863577549,88.095023551,88.461538462,87.8925
2025-W18,AZ Phoenix,AM,Production,88.16,,88.306860426,87.86439214,87.049752115,88.130485069,88.59167438,88.861845644,89.042821159,88.1
2025-W19,AZ Phoenix,AM,Production,91.14,,88.172804533,88.446841987,87.456496864,88.580671655,89.022820724,89.243123724,89.355322339,88.0275
2025-W20,AZ Phoenix,AM,Production,87.99,,88.725969371,88.437359677,87.608606107,88.400794021,88.476212238,88.350402538,88.164251208,88.75500000000001
2025-W21,AZ Phoenix,AM,Production,86.74,,89.392446634,88.679673321,88.303713358,89.486255035,90.05272652,90.554175266,91.137566138,89.425
2025-W22,AZ Phoenix,AM,Production,87.76,,89.114754098,88.992214533,88.237899147,88.868793963,88.791067725,88.481127725,87.984981227,89.1625
2025-W23,AZ Phoenix,AM,Production,87.85,,88.49218999,88.712483689,87.944003692,88.0316022,87.579242456,87.100132114,86.737400531,88.5075
2025-W24,AZ Phoenix,AM,Production,83.98,,88.393145813,88.491717524,87.905672539,87.919617068,87.685699077,87.627114517,87.755102041,88.4075
2025-W25,AZ Phoenix,AM,Production,87.56,,87.589112119,88.265524625,87.894904458,87.892506674,87.783099854,87.80435199,87.85046729,87.585
2025-W26,AZ Phoenix,AM,Production,87.55,,86.579378069,87.570498915,87.112788028,86.324577094,85.494601748,84.73807397,83.984375,86.5825
2025-W27,AZ Phoenix,AM,Production,86.1,,86.756756757,86.970972745,87.191232396,86.773857899,86.657255008,86.922583568,87.556904401,86.78750000000001
2025-W28,AZ Phoenix,AM,Production,87.95,,86.700507614,86.890718896,87.26510253,87.097524288,87.213980885,87.436040804,87.548138639,86.735
2025-W29,AZ Phoenix,AM,Production,84.81,,86.255924171,86.78404279,87.032515791,86.696185155,86.543325785,86.367429868,86.096256684,86.2975
2025-W30,AZ Phoenix,AM,Production,84.17,,87.283236994,86.810228802,87.216038356,87.199942248,87.388687631,87.632693462,87.947019868,87.28999999999999
2025-W31,AZ Phoenix,AM,Production,86.07,,86.598951507,86.291582943,86.724910536,86.226778123,85.824117277,85.361284576,84.805194805,86.60249999999999
2025-W32,AZ Phoenix,AM,Production,82.28,,85.687083466,86.271518849,86.14967273,85.329896473,84.775803767,84.382313465,84.16856492,85.7575
2025-W33,AZ Phoenix,AM,Production,84.22,,85.701411835,86.058484349,86.131242135,85.650523386,85.584650494,85.752540883,86.069114471,85.75
2025-W34,AZ Phoenix,AM,Production,85.08,,84.272497897,85.088757396,85.226406816,84.176894527,83.512074725,82.925098834,82.275931521,84.3325
2025-W35,AZ Phoenix,AM,Production,84.39,,84.149623251,84.792978439,85.011927876,84.195040445,83.932139591,83.949717653,84.221980413,84.185
2025-W36,AZ Phoenix,AM,Production,83.52,,84.370825541,84.399925802,85.026694446,84.548218311,84.614478732,84.851150402,85.082872928,84.4125
2025-W37,AZ Phoenix,AM,Production,86.57,,83.952611739,84.342152954,84.896662148,84.486436301,84.482347441,84.485235151,84.392419175,83.99249999999999
